Spot,lat,lon
Airport,22.308046,113.91848
Express Rail Link West Kowloon,22.31533,114.16676
Hung Hom,22.29949,114.1957
Lo Wu,22.529826,114.113587
Lok Ma Chau Spur Line,22.514964,114.065533
Hong Kong-Zhuhai-Macao Bridge,22.317208,113.952211
Lok Ma Chau,22.50967,114.07872
Man Kam To,22.53779,114.12762
Sha Tau Kok,22.54548,114.22054
Shenzhen Bay,22.4992609,113.9423443
China Ferry Terminal,22.3005323,114.1656045
Harbour Control,22.2859055,114.1514142
Kai Tak Cruise Terminal,22.3046986,114.2097128
Macau Ferry Terminal,22.2896884,114.1501536
Tuen Mun Ferry Terminal,22.3717847,113.9638504
Heung Yuen Wai,22.55378,114.153662
